run_id,match_id,table_size,hand_id,dealer,winner,win_amount,pot_size,end_round,showdown,stacks_after
20260408T102956Z,match_005_baseline_vs_weak_ai,2,5,baseline,weak_ai,1880,1880,Flop,False,"{""baseline"": -920, ""weak_ai"": 920}"
20260408T102956Z,match_005_baseline_vs_weak_ai,2,6,weak_ai,weak_ai,2000,2000,Showdown,True,"{""baseline"": -1000, ""weak_ai"": 1000}"
20260408T102956Z,match_005_baseline_vs_weak_ai,2,7,baseline,weak_ai,940,940,Showdown,True,"{""baseline"": -470, ""weak_ai"": 470}"
20260408T102956Z,match_005_baseline_vs_weak_ai,2,8,weak_ai,baseline,2000,2000,Showdown,True,"{""baseline"": 1000, ""weak_ai"": -1000}"
20260408T102956Z,match_005_baseline_vs_weak_ai,2,9,baseline,baseline,500,500,Showdown,True,"{""baseline"": 250, ""weak_ai"": -250}"
20260408T102956Z,match_005_baseline_vs_weak_ai,2,10,weak_ai,baseline,440,440,Showdown,True,"{""baseline"": 220, ""weak_ai"": -220}"
20260408T102956Z,match_005_baseline_vs_weak_ai,2,11,baseline,baseline,1180,1180,Showdown,True,"{""baseline"": 590, ""weak_ai"": -590}"
20260408T102956Z,match_005_baseline_vs_weak_ai,2,12,weak_ai,weak_ai,360,360,Showdown,True,"{""baseline"": -180, ""weak_ai"": 180}"
20260408T102956Z,match_005_baseline_vs_weak_ai,2,13,baseline,baseline,2000,2000,Showdown,True,"{""baseline"": 1000, ""weak_ai"": -1000}"
20260408T102956Z,match_005_baseline_vs_weak_ai,2,14,weak_ai,weak_ai,370,370,Showdown,True,"{""baseline"": -185, ""weak_ai"": 185}"
20260408T102956Z,match_005_baseline_vs_weak_ai,2,15,baseline,weak_ai,430,430,Showdown,True,"{""baseline"": -215, ""weak_ai"": 215}"
20260408T102956Z,match_005_baseline_vs_weak_ai,2,16,weak_ai,weak_ai,340,340,Showdown,True,"{""baseline"": -170, ""weak_ai"": 170}"
20260408T102956Z,match_005_baseline_vs_weak_ai,2,17,baseline,weak_ai,1880,1880,Flop,False,"{""baseline"": -920, ""weak_ai"": 920}"
20260408T102956Z,match_005_baseline_vs_weak_ai,2,18,weak_ai,weak_ai,400,400,Showdown,True,"{""baseline"": -200, ""weak_ai"": 200}"
